access_scenario,scenario,name_run,q,region,GCAM Region,Population,year,e_cool_CC,e_cool_noCC,e_cool_delta,Percentage change,,
projected,EN_NPi2100,tm23ts23,0.95,MEA,,437.274,2080,5.383545644364177,3.379331488,2.00421,59.31%,,
projected,EN_NPi2100,tm23ts23,0.95,MEA,,443.801,2090,5.917516674844475,3.486409265,2.43111,69.73%,,
projected,EN_NPi2100,tm23ts23,0.95,MEA,,446.365,2100,6.206086690423698,3.423125958,2.78296,81.30%,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,,529.685,2030,1.035001373,0.750614017,0.28439,37.89%,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,,553.665,2040,1.138731958,0.727186646,0.41155,56.59%,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,,567.44,2050,1.235510686,0.700705829,0.53480,76.32%,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,,573.6,2060,1.33693186,0.676201157,0.66073,97.71%,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,,577.463,2070,1.435111008,0.653331789,0.78178,119.66%,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,,577.301,2080,1.522069886,0.627512341,0.89456,142.56%,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,,572.101,2090,1.598528462,0.598870696,0.99966,166.92%,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,,565.241,2100,1.665571078,0.569291712,1.09628,192.57%,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,USA,354.695,2030,0.693071943,0.502636546,0.19044,,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,USA,369.148,2040,0.759232794,0.484841007,0.27439,,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,USA,377.905,2050,0.822828256,0.466657684,0.35617,,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,USA,383.101,2060,0.892921779,0.451627161,0.44129,,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,USA,388.739,2070,0.966094136,0.439812674,0.52628,,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,USA,392.949,2080,1.036020792,0.427126139,0.60889,,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,USA,394.443,2090,1.102127705,0.41289974,0.68923,,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,USA,395.319,2100,1.164869309,0.398151993,0.76672,,,
