DLS,EN_NPi2100,tm23ts23,0.5,region,GCAM Region,Population,year,e_cool_CC,e_cool_noCC,e_cool_delta,Percentage change
,,,,LAM,Colombia,45.985,2100,0.481996611,0.208681112,0.2733,1.31
,,,,LAM,South America_Northern,33.727,2030,0.136726403,0.109203051,0.0275,0.25
,,,,LAM,South America_Northern,36.39,2040,0.245852484,0.179111649,0.0667,0.37
,,,,LAM,South America_Northern,38.013,2050,0.337563944,0.224695318,0.1129,0.5
,,,,LAM,South America_Northern,39.029,2060,0.415993739,0.253361717,0.1626,0.64
,,,,LAM,South America_Northern,39.589,2070,0.473809213,0.264210035,0.2096,0.79
,,,,LAM,South America_Northern,39.59,2080,0.513002458,0.262703815,0.2503,0.95
,,,,LAM,South America_Northern,38.96,2090,0.53615014,0.252327834,0.2838,1.12
,,,,LAM,South America_Northern,37.694,2100,0.395093623,0.171056341,0.224,1.31
,,,,LAM,South America_Northern,100.183,2030,0.406133401,0.324377776,0.0818,0.25
,,,,LAM,South America_Southern,107.801,2040,0.728308425,0.530596725,0.1977,0.37
,,,,LAM,South America_Southern,113.294,2050,1.006076065,0.669682249,0.3364,0.5
,,,,LAM,South America_Southern,116.507,2060,1.241799239,0.756320006,0.4855,0.64
,,,,LAM,South America_Southern,117.481,2070,1.40603653,0.784047566,0.622,0.79
,,,,LAM,South America_Southern,116.408,2080,1.508400862,0.772438132,0.736,0.95
,,,,LAM,South America_Southern,113.835,2090,1.566546488,0.737262293,0.8293,1.12
,,,,LAM,South America_Southern,110.413,2100,1.157305465,0.501057033,0.6562,1.31
,,,,MEA,,311.045,2030,1.30160469,1.089814731,0.2118,0.19
,,,,MEA,,349.732,2040,2.050641125,1.631471246,0.4192,0.26
,,,,MEA,,383.897,2050,2.875553276,2.159624412,0.7159,0.33
,,,,MEA,,409.642,2060,3.760008653,2.660522075,1.0995,0.41
,,,,MEA,,426.613,2070,4.641250562,3.094438639,1.5468,0.5
,,,,MEA,,437.274,2080,5.383545644,3.379331488,2.0042,0.59
,,,,MEA,,443.801,2090,5.917516675,3.486409265,2.4311,0.7
,,,,MEA,,446.365,2100,6.20608669,3.423125958,2.783,0.81
,,,,NAM,,529.685,2030,1.035001373,0.750614017,0.2844,0.38
,,,,NAM,,553.665,2040,1.138731958,0.727186646,0.4115,0.57
,,,,NAM,,567.44,2050,1.235510686,0.700705829,0.5348,0.76
,,,,NAM,,573.6,2060,1.33693186,0.676201157,0.6607,0.98
,,,,NAM,,577.463,2070,1.435111008,0.653331789,0.7818,1.2
,,,,NAM,,577.301,2080,1.522069886,0.627512341,0.8946,1.43
,,,,NAM,,572.101,2090,1.598528462,0.598870696,0.9997,1.67
,,,,NAM,,565.241,2100,1.665571078,0.569291712,1.0963,1.93
,,,,NAM,USA,354.695,2030,0.693071943,0.502636546,0.1904,0.38
,,,,NAM,USA,369.148,2040,0.759232794,0.484841007,0.2744,0.57
,,,,NAM,USA,377.905,2050,0.822828256,0.466657684,0.3562,0.76
,,,,NAM,USA,383.101,2060,0.892921779,0.451627161,0.4413,0.98
,,,,NAM,USA,388.739,2070,0.966094136,0.439812674,0.5263,1.2
,,,,NAM,USA,392.949,2080,1.036020792,0.427126139,0.6089,1.43
,,,,NAM,USA,394.443,2090,1.102127705,0.41289974,0.6892,1.67
,,,,NAM,USA,395.319,2100,1.164869309,0.398151993,0.7667,1.93
,,,,NAM,Canada,40.852,2030,0.079824568,0.057891169,0.0219,0.38
,,,,NAM,Canada,43.7,2040,0.089878512,0.05739582,0.0325,0.57
,,,,NAM,Canada,45.801,2050,0.09972442,0.05655757,0.0432,0.76
,,,,NAM,Canada,47.548,2060,0.110823633,0.056053021,0.0548,0.98
,,,,NAM,Canada,49.418,2070,0.12281361,0.055910682,0.0669,1.2
,,,,NAM,Canada,51.129,2080,0.134803008,0.055575997,0.0792,1.43
,,,,NAM,Canada,52.489,2090,0.146661447,0.05494506,0.0917,1.67
,,,,NAM,Canada,53.832,2100,0.158624414,0.054217779,0.1044,1.93
,,,,NAM,Mexico,134.138,2030,0.262104863,0.190086302,0.072,0.38
,,,,NAM,Mexico,140.817,2040,0.289620652,0.18494982,0.1047,0.57
,,,,NAM,Mexico,143.734,2050,0.31295801,0.177490574,0.1355,0.76
,,,,NAM,Mexico,142.951,2060,0.333186448,0.168520976,0.1647,0.98
,,,,NAM,Mexico,139.306,2070,0.346203262,0.157608432,0.1886,1.2
,,,,NAM,Mexico,133.223,2080,0.351246085,0.144810206,0.2064,1.43
,,,,NAM,Mexico,125.169,2090,0.34973931,0.131025896,0.2187,1.67
,,,,NAM,Mexico,116.09,2100,0.342077355,0.116921941,0.2252,1.93
,,,,PAO,,152.43,2030,0.254493162,0.189939847,0.0646,0.34
,,,,PAO,,147.551,2040,0.268721612,0.181274611,0.0874,0.48
,,,,PAO,,142.191,2050,0.275928281,0.168862731,0.1071,0.63
,,,,PAO,,136.732,2060,0.279505026,0.155371274,0.1241,0.8
,,,,PAO,,130.669,2070,0.278573885,0.141177019,0.1374,0.97
,,,,PAO,,125.451,2080,0.274864064,0.127378517,0.1475,1.16
,,,,PAO,,121.414,2090,0.269180299,0.114231167,0.1549,1.36
,,,,PAO,,117.959,2100,0.261916595,0.101962739,0.16,1.57
,,,,PAO,Australia_NZ,33.562,2030,0.056034242,0.041820909,0.0142,0.34
,,,,PAO,Australia_NZ,36.017,2040,0.065594583,0.044248888,0.0213,0.48
,,,,PAO,Australia_NZ,38.051,2050,0.073839744,0.045188484,0.0287,0.63
,,,,PAO,Australia_NZ,39.729,2060,0.081213287,0.045144848,0.0361,0.8
,,,,PAO,Australia_NZ,41.172,2070,0.08777479,0.044482932,0.0433,0.97
,,,,PAO,Australia_NZ,42.345,2080,0.092778207,0.042995618,0.0498,1.16
,,,,PAO,Australia_NZ,43.228,2090,0.09583842,0.040670638,0.0552,1.36
,,,,PAO,Australia_NZ,44.113,2100,0.097948667,0.038130896,0.0598,1.57
,,,,PAO,Japan,118.868,2030,0.19845892,0.148118938,0.0503,0.34
,,,,PAO,Japan,111.534,2040,0.203127029,0.137025723,0.0661,0.48
,,,,PAO,Japan,104.14,2050,0.202088537,0.123674247,0.0784,0.63
,,,,PAO,Japan,97.003,2060,0.198291739,0.110226426,0.0881,0.8
,,,,PAO,Japan,89.497,2070,0.190799095,0.096694087,0.0941,0.97
,,,,PAO,Japan,83.106,2080,0.182085858,0.084382899,0.0977,1.16
,,,,PAO,Japan,78.186,2090,0.173341879,0.073560529,0.0998,1.36
,,,,PAO,Japan,73.846,2100,0.163967928,0.063831843,0.1001,1.57
,,,,PAS,,840.053,2030,1.089736673,0.912632858,0.1771,0.19
,,,,PAS,,881.696,2040,1.861571341,1.488535317,0.373,0.25
,,,,PAS,,903.577,2050,2.730903719,2.080989847,0.6499,0.31
,,,,PAS,,907.111,2060,3.380465442,2.44722462,0.9332,0.38
,,,,PAS,,897.895,2070,3.720583524,2.56091067,1.1597,0.45
,,,,PAS,,880.077,2080,4.090782131,2.675757048,1.415,0.53
,,,,PAS,,855.975,2090,4.315905499,2.67607891,1.6398,0.61
,,,,PAS,,828.031,2100,4.341109704,2.549850638,1.7913,0.7
,,,,PAS,Indonesia,291.204,2030,0.377756735,0.316363776,0.0614,0.19
,,,,PAS,Indonesia,307.522,2040,0.649287444,0.519178218,0.1301,0.25
,,,,PAS,Indonesia,316.968,2050,0.957980438,0.729995551,0.228,0.31
,,,,PAS,Indonesia,319.428,2060,1.190389396,0.8617601,0.3286,0.38
,,,,PAS,Indonesia,317.879,2070,1.31718672,0.906631313,0.4106,0.45
,,,,PAS,Indonesia,313.51,2080,1.45726011,0.953185451,0.5041,0.53
,,,,PAS,Indonesia,306.374,2090,1.54476618,0.95783288,0.5869,0.61
,,,,PAS,Indonesia,297.128,2100,1.557749944,0.914980261,0.6428,0.7
,,,,PAS,Southeast Asia,473.475,2030,0.614202998,0.514382833,0.0998,0.19
,,,,PAS,Southeast Asia,501.062,2040,1.05791867,0.845924766,0.212,0.25
,,,,PAS,Southeast Asia,518.105,2050,1.565881902,1.193225641,0.3727,0.31
,,,,PAS,Southeast Asia,525.536,2060,1.958477283,1.417802935,0.5407,0.38
,,,,PAS,Southeast Asia,524.492,2070,2.173323488,1.495917852,0.6774,0.45
,,,,PAS,Southeast Asia,517.246,2080,2.404267688,1.572617658,0.8317,0.53
,,,,PAS,Southeast Asia,505.722,2090,2.549897322,1.581064842,0.9688,0.61
,,,,PAS,Southeast Asia,491.377,2100,2.576137202,1.513153441,1.063,0.7
,,,,PAS,South Korea,51.345,2030,0.066605952,0.055781164,0.0108,0.19
,,,,PAS,South Korea,49.461,2040,0.104429622,0.083503209,0.0209,0.25
,,,,PAS,South Korea,45.989,2050,0.138993723,0.105915314,0.0331,0.31
,,,,PAS,South Korea,41.133,2060,0.153287398,0.11096954,0.0423,0.38
,,,,PAS,South Korea,36.154,2070,0.149810364,0.103115803,0.0467,0.45
,,,,PAS,South Korea,31.621,2080,0.146981028,0.096139444,0.0508,0.53
,,,,PAS,South Korea,27.59,2090,0.139111344,0.086256044,0.0529,0.61
,,,,PAS,South Korea,24.244,2100,0.127103772,0.074657324,0.0524,0.7
,,,,PAS,Taiwan,24.029,2030,0.031170989,0.026105085,0.0051,0.19
,,,,PAS,Taiwan,23.651,2040,0.049935606,0.039929124,0.01,0.25
,,,,PAS,Taiwan,22.515,2050,0.068047656,0.051853341,0.0162,0.31
,,,,PAS,Taiwan,21.014,2060,0.078311365,0.056692046,0.0216,0.38
,,,,PAS,Taiwan,19.37,2070,0.080262952,0.055245702,0.025,0.45
,,,,PAS,Taiwan,17.7,2080,0.082273305,0.053814495,0.0285,0.53
,,,,PAS,Taiwan,16.289,2090,0.082130652,0.050925143,0.0312,0.61
,,,,PAS,Taiwan,15.282,2100,0.080118786,0.047059612,0.0331,0.7
,,,,SAS,,2070.824,2030,1.62512355,1.474373087,0.1508,0.1
,,,,SAS,,2244.759,2040,2.834746196,2.436542202,0.3982,0.16
,,,,SAS,,2371.909,2050,5.413597115,4.411296864,1.0023,0.23
,,,,SAS,,2452.97,2060,8.969436883,6.921150027,2.0483,0.3
,,,,SAS,,2489.181,2070,12.47070669,9.113187008,3.3575,0.37
,,,,SAS,,2477.886,2080,15.02354036,10.39838801,4.6252,0.44
,,,,SAS,,2429.279,2090,16.20233265,10.60949949,5.5928,0.53
,,,,SAS,,2357.674,2100,16.41826778,10.16498454,6.2533,0.62
,,,,SAS,South Asia,289.922,2030,0.227522508,0.20641696,0.0211,0.1
,,,,SAS,South Asia,316.773,2040,0.400030051,0.343836814,0.0562,0.16
,,,,SAS,South Asia,337.751,2050,0.770876049,0.62815223,0.1427,0.23
,,,,SAS,South Asia,352.352,2060,1.288396933,0.994174839,0.2942,0.3
,,,,SAS,South Asia,358.931,2070,1.798231316,1.314088982,0.4841,0.37
,,,,SAS,South Asia,357.754,2080,2.169079472,1.501305914,0.6678,0.44
,,,,SAS,South Asia,349.951,2090,2.334035124,1.52835675,0.8057,0.53
,,,,SAS,South Asia,337.502,2100,2.350281766,1.455121705,0.8952,0.62
,,,,SAS,India,1509.3,2030,1.184455547,1.074582533,0.1099,0.1
,,,,SAS,India,1607.76,2040,2.030325547,1.745120563,0.2852,0.16
,,,,SAS,India,1668.48,2050,3.808104996,3.103053528,0.7051,0.23
,,,,SAS,India,1694.79,2060,6.197104708,4.78191574,1.4152,0.3
,,,,SAS,India,1691.27,2070,8.473201471,6.191940156,2.2813,0.37
,,,,SAS,India,1657.29,2080,10.04822788,6.954776963,3.0935,0.44
,,,,SAS,India,1601.09,2090,10.67863871,6.992512405,3.6861,0.53
,,,,SAS,India,1533.4,2100,10.6782243,6.611171557,4.0671,0.62
,,,,SAS,Pakistan,271.602,2030,0.213145495,0.193373594,0.0198,0.1
,,,,SAS,Pakistan,320.226,2040,0.404390598,0.347584825,0.0568,0.16
,,,,SAS,Pakistan,365.678,2050,0.834616069,0.680091106,0.1545,0.23
,,,,SAS,Pakistan,405.828,2060,1.483935242,1.145059448,0.3389,0.3
,,,,SAS,Pakistan,438.98,2070,2.199273908,1.607157869,0.5921,0.37
,,,,SAS,Pakistan,462.842,2080,2.806233001,1.942305136,0.8639,0.44
,,,,SAS,Pakistan,478.238,2090,3.189658809,2.088630338,1.101,0.53
,,,,SAS,Pakistan,486.772,2100,3.389761707,2.098691275,1.2911,0.62
,,,,WEU,,434.016,2030,1.836628821,1.378491078,0.4581,0.33
