Year,="Calibration Data: Energy Balance Model.Surface Temperature Anomaly[1]",="Run 1: Energy Balance Model.Surface Temperature Anomaly[1]",="Calibration Data: Emissions.Total CO2 Emissions[1]",="Run 1: Emissions.Total CO2 Emissions[1]",="Calibration Data: Emissions.CO2 emissions from Energy[1]",="Run 1: Emissions.CO2 emissions from Energy[1]",="Calibration Data: Emissions.CO2 Emissions from Food and Land Use[1]",="Run 1: Emissions.CO2 Emissions from Food and Land Use[1]",="Run 1: solar energy.Current Solar Capacity[1]",="Run 1: wind energy.Current Wind Capacity[1]",="Run 1: bio fuel energy.bio fuel production Capacity[1]",="Calibration Data: bio fuel energy.bio fuel production[1]",="Run 1: bio fuel energy.bio fuel production[1]",="Run 1: fossil energy coal.Fossil Energy and Fuel Capital[1]",="Run 1: fossil energy gas.Fossil Energy and Fuel Capital[1]",="Run 1: fossil energy oil.Fossil Energy and Fuel Capital[1]",="Calibration Data: hydropower energy.Hydropower Energy Capacity[1]",="Run 1: hydropower energy.Hydropower Energy Capacity[1]",="Calibration Data: nuclear energy.Nuclear Energy Capacity[1]",="Run 1: nuclear energy.Nuclear Energy Capacity[1]",="Run 1: CCS.Storing CO2[1]",="Calibration Data: energy supply.Total Energy Output[1]",="Run 1: energy supply.Total Energy Output[1]",="Calibration Data: fossil energy coal.Secondary Fossil Energy Output[1]",="Run 1: fossil energy coal.Secondary Fossil Energy Output[1]",="Calibration Data: fossil energy gas.Secondary Fossil Energy Output[1]",="Run 1: fossil energy gas.Secondary Fossil Energy Output[1]",="Calibration Data: fossil energy oil.Secondary Fossil Energy Output[1]",="Run 1: fossil energy oil.Secondary Fossil Energy Output[1]",="Calibration Data: nuclear energy.Nuclear Energy Output[1]",="Run 1: nuclear energy.Nuclear Energy Output[1]",="Calibration Data: bio fuel energy.bio fuel secondary energy output[1]",="Run 1: bio fuel energy.bio fuel secondary energy output[1]",="Calibration Data: hydropower energy.Hydropower Energy Output[1]",="Run 1: hydropower energy.Hydropower Energy Output[1]",="Calibration Data: solar energy.Solar Energy Output[1]",="Run 1: solar energy.Solar Energy Output[1]",="Calibration Data: wind energy.Wind Energy Output[1]",="Run 1: wind energy.Wind Energy Output[1]"
2043,,1.70841539393,,34916.9919044,,27039.8876612,,5208.66296193,4464.46828399,4749.8281255,842.971837341,,778.443785538,2408291677760,5700317480160,9651241935800,,1497.7443938,,1769.38843394,0,,83713.1336124,,11202.8163227,,18375.6324541,,16970.0410237,,13270.4132546,,1841.18147377,,5759.92693994,,7559.6149297,,8733.5072139
2044,,1.72750259429,,34319.6280242,,26353.7110532,,5276.46564413,4690.06254551,4919.75869057,929.938366381,,859.888247602,2288275750910,5677932242640,9517258533800,,1524.67268447,,1903.07659471,0,,84566.770912,,10619.8538475,,18165.6454242,,16622.1723345,,14273.0744603,,2034.97017925,,5863.48599015,,7941.61019519,,9045.95848091
2045,,1.74767995581,,33839.7215934,,25693.5386016,,5379.4803113,4914.4548246,5087.49177535,1021.52359288,,944.693798388,2174102748470,5655229575690,9387412500720,,1551.78240044,,2043.98655804,0,,85489.3096363,,10064.3045238,,17944.0422023,,16271.6804857,,15329.8991853,,2235.70108111,,5967.74275386,,8321.57016248,,9354.36924174
2046,,1.77012241359,,33469.8627291,,25062.9642945,,5511.79636225,5133.7898624,5247.84935425,1118.15273134,,1033.2632761,2065504457630,5633633674890,9263459775730,,1579.18046406,,2193.1472409,0,,86492.1848637,,9535.17931447,,17716.5112275,,15931.2609049,,16448.6043068,,2445.33524003,,6073.10842597,,8692.96678149,,9649.21866261
2047,,1.79372869051,,33193.848603,,24463.6542424,,5660.60493252,5355.78042571,5410.5392868,1220.00340366,,1126.05351621,1962220794880,5613893419980,9146601136690,,1606.85644188,,2351.26528526,0,,87619.6287378,,9031.47736553,,17489.2097486,,15602.721394,,17634.4896395,,2664.97116595,,6179.54288231,,9068.85996068,,9948.3565813
2048,,1.81732051167,,32981.5938636,,23893.5967298,,5811.07707807,5581.46476806,5577.22430504,1326.63378723,,1223.14453827,1864001892520,5595477760900,9036157972000,,1634.63130243,,2518.08921478,0,,88870.7900435,,8552.20100128,,17261.018204,,15284.9051049,,18885.6691108,,2894.79098598,,6286.35761531,,9451.00775864,,10254.8402626
2049,,1.83927729228,,32775.9605995,,23347.1045666,,5942.36202768,5808.99939838,5746.05304526,1436.73373433,,1324.23491305,1770608084400,5576498691730,8929865477320,,1662.12975388,,2692.11988419,0,,90210.7034495,,8091.33341063,,17026.7444923,,14973.9771059,,20190.8991314,,3134.08573167,,6392.10935235,,9836.28862055,,10565.2656046
2050,,1.85748299643,,32503.4969976,,22815.7826498,,6033.4742828,6034.77540442,5913.37976697,1548.16829372,,1428.47284195,1681810422570,5554063401240,8824158433570,,1688.8390623,,2870.62748366,0,,91591.5390692,,7651.97335955,,16778.4695006,,14664.2043987,,21529.7061274,,3380.83861084,,6494.82625504,,10218.5916312,,10872.9291858
2051,,1.87180806002,,32106.8008756,,22294.1991273,,6071.21366131,6243.2407547,6062.11764745,1658.27831485,,1534.30121801,1597390076020,5526388979330,8716800088450,,1714.15659565,,3050.42361772,0,,92919.8090299,,7235.17045632,,16512.1475681,,14352.8054977,,22878.1771329,,3631.32136582,,6592.19076063,,10571.5827769,,11146.4134715
2052,,1.88474756314,,31571.3431405,,21777.8748256,,6055.86578211,6439.20873861,6200.56929258,1764.71633413,,1639.68179438,1517137393370,5492402664570,8606779622010,,1737.62419523,,3228.67789038,0,,94186.9235188,,6839.84878859,,16225.7851333,,14038.555762,,24215.0841779,,3880.81195856,,6682.44091251,,10903.4123258,,11400.9844601
2053,,1.89769480816,,30923.0119567,,21262.5042857,,5997.61882041,6620.77840546,6327.73151419,1866.14909857,,1742.83856027,1440851333990,5450919379500,8491723561210,,1759.16869875,,3403.33561971,0,,95362.4224649,,6464.9713718,,15917.544669,,13718.926302,,25525.0171479,,4125.00860866,,6765.29534798,,11210.8614277,,11634.7975899
2054,,1.91063912635,,30208.9157821,,20746.9984081,,5911.41439576,6786.91164913,6442.54802647,1962.02211266,,1842.28349138,1368339929480,5402020621520,8371525698740,,1778.87182773,,3573.46871151,0,,96433.7781611,,6109.54355827,,15589.2902066,,13394.3304064,,26801.0153363,,4360.44736531,,6841.0683463,,11492.1722735,,11845.9106684
2055,,1.92451361289,,29497.8984213,,20233.7226904,,5817.47990762,6938.67601944,6545.73139883,2052.79598132,,1937.07110176,1299419954280,5347054386710,8247178181690,,1797.0030673,,3739.48073504,0,,97412.8499141,,5772.61255621,,15246.4374672,,13067.2584393,,28046.1055128,,4584.85323705,,6910.79627563,,11749.1525289,,12035.633897
2056,,1.94039213356,,28854.0218826,,19726.5041305,,5736.89767901,7072.07731096,6632.31950863,2139.4426618,,2026.84526688,1233916438230,5287858639920,8120599420070,,1813.87970522,,3902.55171479,0,,98302.0349774,,5453.26601195,,14895.4646627,,12741.1864903,,29269.1378609,,4797.39832122,,6975.69934038,,11975.0388676,,12194.8434224
