Year,="Calibration Data: Energy Balance Model.Surface Temperature Anomaly[1]",="Run 1: Energy Balance Model.Surface Temperature Anomaly[1]",="Calibration Data: Emissions.Total CO2 Emissions[1]",="Run 1: Emissions.Total CO2 Emissions[1]",="Calibration Data: Emissions.CO2 emissions from Energy[1]",="Run 1: Emissions.CO2 emissions from Energy[1]",="Calibration Data: Emissions.CO2 Emissions from Food and Land Use[1]",="Run 1: Emissions.CO2 Emissions from Food and Land Use[1]",="Run 1: solar energy.Current Solar Capacity[1]",="Run 1: wind energy.Current Wind Capacity[1]",="Run 1: bio fuel energy.bio fuel production Capacity[1]",="Calibration Data: bio fuel energy.bio fuel production[1]",="Run 1: bio fuel energy.bio fuel production[1]",="Run 1: fossil energy coal.Fossil Energy and Fuel Capital[1]",="Run 1: fossil energy gas.Fossil Energy and Fuel Capital[1]",="Run 1: fossil energy oil.Fossil Energy and Fuel Capital[1]",="Calibration Data: hydropower energy.Hydropower Energy Capacity[1]",="Run 1: hydropower energy.Hydropower Energy Capacity[1]",="Calibration Data: nuclear energy.Nuclear Energy Capacity[1]",="Run 1: nuclear energy.Nuclear Energy Capacity[1]",="Run 1: CCS.Storing CO2[1]",="Calibration Data: energy supply.Total Energy Output[1]",="Run 1: energy supply.Total Energy Output[1]",="Calibration Data: fossil energy coal.Secondary Fossil Energy Output[1]",="Run 1: fossil energy coal.Secondary Fossil Energy Output[1]",="Calibration Data: fossil energy gas.Secondary Fossil Energy Output[1]",="Run 1: fossil energy gas.Secondary Fossil Energy Output[1]",="Calibration Data: fossil energy oil.Secondary Fossil Energy Output[1]",="Run 1: fossil energy oil.Secondary Fossil Energy Output[1]",="Calibration Data: nuclear energy.Nuclear Energy Output[1]",="Run 1: nuclear energy.Nuclear Energy Output[1]",="Calibration Data: bio fuel energy.bio fuel secondary energy output[1]",="Run 1: bio fuel energy.bio fuel secondary energy output[1]",="Calibration Data: hydropower energy.Hydropower Energy Output[1]",="Run 1: hydropower energy.Hydropower Energy Output[1]",="Calibration Data: solar energy.Solar Energy Output[1]",="Run 1: solar energy.Solar Energy Output[1]",="Calibration Data: wind energy.Wind Energy Output[1]",="Run 1: wind energy.Wind Energy Output[1]"
2054,,1.89572834438,,27150.4878012,,18222.8556967,,5391.87264034,6649.20601547,6384.40674383,1333.90537358,,1256.50912138,1306572795090,4561345530310,7319591321520,,1601.2611587,,4472.73869953,0,,96832.719866,,5828.96995822,,13435.3490676,,11893.1131609,,33545.5402464,,2973.7187502,,6158.02491004,,11258.997459,,11739.0063136
2055,,1.90854306897,,26406.9074595,,17661.6923571,,5307.10063326,6780.82947791,6469.30643332,1394.97964788,,1320.44934415,1240743625040,4482550054740,7155330616740,,1613.88755381,,4661.97411888,0,,97777.2222315,,5507.0563012,,13073.4841721,,11523.2331289,,34964.8058916,,3125.0752989,,6206.5826704,,11481.8734273,,11895.1113412
2056,,1.92333193455,,25737.4128977,,17112.3766614,,5238.02524238,6893.56080383,6536.44026141,1452.93406379,,1380.58579184,1178177008780,4401660377170,6991229654070,,1625.39094195,,4846.5503249,0,,98629.4799062,,5201.93347863,,12710.4004078,,11158.4573649,,36349.1274367,,3267.42965404,,6250.82164435,,11672.7596337,,12018.550286
2057,,1.93989968476,,25172.246567,,16577.9394724,,5195.024664,6992.31837974,6591.91204746,1508.62051097,,1437.25784105,1118713772780,4319884177530,6828823808910,,1636.04234967,,5028.52613516,0,,99432.1313852,,4912.77171621,,12350.288465,,10801.2260946,,37713.9460137,,3401.58442329,,6291.78412802,,11839.9843059,,12120.5462385
2058,,1.95561726086,,24719.8979477,,16061.0660806,,5181.01558029,7083.20155755,6641.32008075,1562.86370935,,1491.16950366,1062202587330,4238318934310,6669473548030,,1646.07131537,,5209.90202226,0,,100227.965161,,4638.78032293,,11996.6203554,,10453.4740413,,39074.265167,,3529.20425609,,6330.35286509,,11993.8753819,,12211.392771
2059,,1.96982440279,,24377.8968165,,15563.9892842,,5196.24821376,7170.63916726,6688.39828531,1616.47325561,,1543.09354609,1008499788980,4157933988640,6514370814470,,1655.67704701,,5392.65768348,0,,101052.434328,,4379.20706923,,11652.2403888,,10116.7505015,,40444.9326261,,3652.12220675,,6367.29395642,,12141.9321308,,12297.9554482
2060,,1.98334812874,,24134.6132247,,15088.4012656,,5231.63176627,7258.20044138,6736.08117012,1670.12796412,,1593.96983732,957468377527,4079467932830,6364422144690,,1665.01003513,,5578.52616099,0,,101935.040806,,4133.33388005,,11319.1397465,,9792.04486082,,41838.9462074,,3772.56173336,,6403.18614866,,12290.1982787,,12385.6299509
2061,,1.99468215266,,23957.0033272,,14635.1824071,,5270.06773963,7346.60453499,6784.85352876,1723.68789427,,1644.42123877,908977917930,4003382007640,6220238568970,,1674.01568777,,5767.70502693,0,,102881.702586,,3900.4764385,,10998.4108998,,9480.03038222,,43257.7877019,,3891.97843936,,6437.81949564,,12439.8915599,,12475.3076686
2062,,2.00387239379,,23783.998475,,14202.8533131,,5294.26167865,7433.1769383,6832.30242192,1776.28046446,,1694.52090483,862904440559,3929367284220,6081633867280,,1682.49286238,,5958.64816157,0,,103868.814524,,3679.98369748,,10688.8931911,,9180.02447257,,44689.8612117,,4010.59629584,,6470.42045651,,12586.4832682,,12562.5519309
2063,,2.01230229329,,23549.1893252,,13787.5753984,,5294.17977034,7516.70912015,6877.26398074,1826.72707456,,1743.91063378,819129670119,3856285473780,5946817254240,,1690.24509427,,6148.54229419,0,,104862.731271,,3471.23446904,,10387.2190114,,8889.30555841,,46114.0672065,,4127.5217965,,6500.23348036,,12727.9270167,,12645.2227324
2064,,2.02097840064,,23212.680221,,13385.0345153,,5274.45463947,7594.31839404,6917.19702867,1873.71588689,,1791.58833677,777540832948,3782915747000,5814071359150,,1697.06976028,,6334.1220357,0,,105819.781014,,3273.63649304,,10090.0168492,,8605.33876393,,47505.9152677,,4240.40509839,,6526.47933228,,12859.3415969,,12718.6476129
2065,,2.03023984788,,22764.1806519,,12991.9230745,,5237.26953762,7663.17124685,6949.65903771,1916.21687046,,1836.64263095,738030476415,3708351783450,5682012150530,,1702.8364087,,6512.62251519,0,,106702.487267,,3086.62552328,,9794.94793641,,8326.2412351,,48844.6688639,,4347.08281614,,6548.65632974,,12975.9290651,,12778.3354969
2066,,2.04028328195,,22220.8131663,,12606.0327302,,5181.71450085,7721.24534998,6972.93732206,1953.59755924,,1878.25479017,700496348349,3632085703540,5549782186260,,1707.49338549,,6682.12445169,0,,107484.967353,,2909.66463598,,9500.8333979,,8050.95267247,,50115.9333876,,4445.61512117,,6566.56582498,,13074.2650436,,12821.1372697
2067,,2.05241526025,,21625.7673553,,12226.6510442,,5111.36681035,7767.53557223,6986.21939842,1985.91833843,,1915.72292413,664841068275,3554208547050,5417255817140,,1711.10654454,,6842.29507896,0,,108160.108024,,2742.24264821,,9208.1066345,,7779.53826883,,51317.2130922,,4534.33972758,,6580.46107454,,13152.6475593,,12845.5590185
