,Variable,Scenario,Percentile,2040,2070,2100
201,Capacity|Gas,HD_D4_Limit,50,0.08051162051115378,13.939245126543508,-1.0644091160866396
202,Capacity|Gas,HD_D4_Limit,5,0.0585176686201289,11.494653419873302,-3.3829341666683006
203,Capacity|Gas,HD_D4_Limit,95,0.10698741545678873,17.216871567553678,1.8481218550239427
204,Capacity|Oil,HD_D4_Limit,50,0.055689107517854504,13.901729529538812,2.7460604556856008
205,Capacity|Oil,HD_D4_Limit,5,0.04202847354447763,12.081592918636586,0.7034194077601642
206,Capacity|Oil,HD_D4_Limit,95,0.07114493706731773,15.347576499712988,4.92830159545947
207,Capacity|Electricity|Hydro,HD_D4_Limit,50,0.05570538266047943,5.644982267399467,0.47461541672465574
208,Capacity|Electricity|Hydro,HD_D4_Limit,5,0.04255934933506752,4.632396109791362,-0.03497772716371957
209,Capacity|Electricity|Hydro,HD_D4_Limit,95,0.06979680840880562,6.290292996638995,0.9991035024882781
210,Capacity|Electricity|Nuclear,HD_D4_Limit,50,0.15641212112365166,4.499974236522615,-1.2700467734925638
211,Capacity|Electricity|Nuclear,HD_D4_Limit,5,0.11218765733113988,2.7815369746306966,-2.7266760576431
212,Capacity|Electricity|Nuclear,HD_D4_Limit,95,0.20418146870226528,5.845919877009433,0.20070110101486247
213,Capacity|Geothermal,HD_D4_Limit,50,,,
214,Capacity|Geothermal,HD_D4_Limit,5,,,
215,Capacity|Geothermal,HD_D4_Limit,95,,,
