access_scenario,scenario,name_run,q,region,GCAM Region,Population,year,e_cool_CC,e_cool_noCC,e_cool_delta,Percentage change,,%(DERP2 - DERP4)
projected,EN_NPi2100,tm23ts23,0.95,LAM,South America_Northern,37.694,2100,0.395093623,0.171056341,0.22404,,,-69.73%
projected,EN_NPi2100,tm23ts23,0.95,LAM,South America_Northern,100.183,2030,0.406133401,0.324377776,0.08176,,,-9.34%
projected,EN_NPi2100,tm23ts23,0.95,LAM,South America_Southern,107.801,2040,0.728308425,0.530596725,0.19771,,,-16.14%
projected,EN_NPi2100,tm23ts23,0.95,LAM,South America_Southern,113.294,2050,1.006076065,0.669682249,0.33639,,,-23.52%
projected,EN_NPi2100,tm23ts23,0.95,LAM,South America_Southern,116.507,2060,1.241799239,0.756320006,0.48548,,,-31.44%
projected,EN_NPi2100,tm23ts23,0.95,LAM,South America_Southern,117.481,2070,1.40603653,0.784047566,0.62199,,,-40.13%
projected,EN_NPi2100,tm23ts23,0.95,LAM,South America_Southern,116.408,2080,1.508400862,0.772438132,0.73596,,,-49.28%
projected,EN_NPi2100,tm23ts23,0.95,LAM,South America_Southern,113.835,2090,1.566546488,0.737262293,0.82928,,,-59.14%
projected,EN_NPi2100,tm23ts23,0.95,LAM,South America_Southern,110.413,2100,1.157305465,0.501057033,0.65625,,,-69.73%
projected,EN_NPi2100,tm23ts23,0.95,MEA,,311.045,2030,"13,016,046,902,689,700",1.089814731,0.21179,19.43%,,11.37%
projected,EN_NPi2100,tm23ts23,0.95,MEA,,349.732,2040,"20,506,411,252,119,800",1.631471246,0.41917,25.69%,,13.68%
projected,EN_NPi2100,tm23ts23,0.95,MEA,,383.897,2050,"2,875,553,275,771,110",2.159624412,0.71593,33.15%,,16.16%
projected,EN_NPi2100,tm23ts23,0.95,MEA,,409.642,2060,"37,600,086,527,562,000",2.660522075,1.09949,41.33%,,18.78%
projected,EN_NPi2100,tm23ts23,0.95,MEA,,426.613,2070,"4,641,250,561,607,720",3.094438639,1.54681,49.99%,,21.49%
projected,EN_NPi2100,tm23ts23,0.95,MEA,,437.274,2080,"5,383,545,644,364,170",3.379331488,2.00421,59.31%,,24.33%
projected,EN_NPi2100,tm23ts23,0.95,MEA,,443.801,2090,"5,917,516,674,844,470",3.486409265,2.43111,69.73%,,27.42%
projected,EN_NPi2100,tm23ts23,0.95,MEA,,446.365,2100,"6,206,086,690,423,690",3.423125958,2.78296,81.30%,,30.77%
projected,EN_NPi2100,tm23ts23,0.95,NAM,,529.685,2030,1.035001373,0.750614017,0.28439,37.89%,,26.49%
projected,EN_NPi2100,tm23ts23,0.95,NAM,,553.665,2040,1.138731958,0.727186646,0.41155,56.59%,,36.91%
projected,EN_NPi2100,tm23ts23,0.95,NAM,,567.44,2050,1.235510686,0.700705829,0.5348,76.32%,,47.88%
projected,EN_NPi2100,tm23ts23,0.95,NAM,,573.6,2060,1.33693186,0.676201157,0.66073,97.71%,,59.75%
projected,EN_NPi2100,tm23ts23,0.95,NAM,,577.463,2070,1.435111008,0.653331789,0.78178,119.66%,,72.02%
projected,EN_NPi2100,tm23ts23,0.95,NAM,,577.301,2080,1.522069886,0.627512341,0.89456,142.56%,,84.86%
projected,EN_NPi2100,tm23ts23,0.95,NAM,,572.101,2090,1.598528462,0.598870696,0.99966,166.92%,,98.58%
projected,EN_NPi2100,tm23ts23,0.95,NAM,,565.241,2100,1.665571078,0.569291712,1.09628,192.57%,,113.09%
projected,EN_NPi2100,tm23ts23,0.95,NAM,USA,354.695,2030,0.693071943,0.502636546,0.19044,37.90%,,26.49%
projected,EN_NPi2100,tm23ts23,0.95,NAM,USA,369.148,2040,0.759232794,0.484841007,0.27439,56.60%,,36.91%
